Date,Flight Number,A/C,From,From (IATA),To,To (IATA),STD,ATD,STA,ATA,Flight Time (Schedual),Flight Time (Actual),Delay (Departure),Is Weekday
2023-01-27,DD106,HS-DBG,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 14:36:00,1900-01-01 15:05:00,1900-01-01 15:36:00,0 days 01:25:00,0 days 01:00:00,0 days 00:56:00,True
2023-01-27,DD503,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 11:35:00,1900-01-01 12:23:00,1900-01-01 13:35:00,1900-01-01 13:34:00,0 days 02:00:00,0 days 01:11:00,0 days 00:48:00,True
2023-01-27,DD502,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 09:40:00,1900-01-01 10:30:00,1900-01-01 11:40:00,1900-01-01 11:39:00,0 days 02:00:00,0 days 01:09:00,0 days 00:50:00,True
2023-01-27,DD361,HS-DBG,Sakon Nakhon ,SNO,Bangkok ,DMK,1900-01-01 08:40:00,1900-01-01 08:48:00,1900-01-01 09:45:00,1900-01-01 09:39:00,0 days 01:05:00,0 days 00:51:00,0 days 00:08:00,True
2023-01-27,DD360,HS-DBG,Bangkok ,DMK,Sakon Nakhon ,SNO,1900-01-01 07:00:00,1900-01-01 07:17:00,1900-01-01 08:10:00,1900-01-01 08:13:00,0 days 01:10:00,0 days 00:56:00,0 days 00:17:00,True
2023-01-26,DD137,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 19:40:00,1900-01-01 23:08:00,1900-01-01 22:00:00,1900-01-02 00:00:00,0 days 02:20:00,0 days 00:52:00,0 days 03:28:00,True
2023-01-26,DD136,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 18:00:00,1900-01-01 21:31:00,1900-01-01 19:10:00,1900-01-01 22:21:00,0 days 01:10:00,0 days 00:50:00,0 days 03:31:00,True
2023-01-26,DD505,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 16:35:00,1900-01-01 19:12:00,1900-01-01 18:05:00,1900-01-01 20:33:00,0 days 01:30:00,0 days 01:21:00,0 days 02:37:00,True
2023-01-26,DD504,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 14:35:00,1900-01-01 17:14:00,1900-01-01 16:05:00,1900-01-01 18:23:00,0 days 01:30:00,0 days 01:09:00,0 days 02:39:00,True
2023-01-26,DD131,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 14:05:00,1900-01-01 15:29:00,1900-01-01 15:10:00,1900-01-01 16:24:00,0 days 01:05:00,0 days 00:55:00,0 days 01:24:00,True
2023-01-26,DD130,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 12:20:00,1900-01-01 13:36:00,1900-01-01 13:35:00,1900-01-01 14:29:00,0 days 01:15:00,0 days 00:53:00,0 days 01:16:00,True
2023-01-26,DD593,HS-DBG,Trang ,TST,Bangkok ,DMK,1900-01-01 11:15:00,1900-01-01 11:23:00,1900-01-01 12:35:00,1900-01-01 12:38:00,0 days 01:20:00,0 days 01:15:00,0 days 00:08:00,True
2023-01-26,DD592,HS-DBG,Bangkok ,DMK,Trang ,TST,1900-01-01 09:25:00,1900-01-01 09:36:00,1900-01-01 10:45:00,1900-01-01 10:45:00,0 days 01:20:00,0 days 01:09:00,0 days 00:11:00,True
2023-01-26,DD571,HS-DBG,Surat Thani ,URT,Bangkok ,DMK,1900-01-01 07:45:00,1900-01-01 07:47:00,1900-01-01 08:55:00,1900-01-01 08:43:00,0 days 01:10:00,0 days 00:56:00,0 days 00:02:00,True
2023-01-25,DD570,HS-DBG,Bangkok ,DMK,Surat Thani ,URT,1900-01-02 06:05:00,1900-01-02 06:14:00,1900-01-01 07:15:00,1900-01-01 07:08:00,0 days 01:10:00,0 days 00:54:00,0 days 00:09:00,True
2023-01-25,DD535,HS-DBG,Phuket ,HKT,Bangkok ,DMK,1900-01-01 22:05:00,1900-01-01 22:32:00,1900-01-01 23:25:00,1900-01-01 23:38:00,0 days 01:20:00,0 days 01:06:00,0 days 00:27:00,True
2023-01-25,DD534,HS-DBG,Bangkok ,DMK,Phuket ,HKT,1900-01-01 20:15:00,1900-01-01 20:31:00,1900-01-01 21:25:00,1900-01-01 21:42:00,0 days 01:10:00,0 days 01:11:00,0 days 00:16:00,True
2023-01-25,DD505,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 16:35:00,1900-01-01 18:28:00,1900-01-01 19:20:00,1900-01-01 19:42:00,0 days 02:45:00,0 days 01:14:00,0 days 01:53:00,True
2023-01-25,DD55,HS-DBG,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 14:37:00,1900-01-01 14:37:00,1900-01-01 15:35:00,1900-01-01 15:35:00,0 days 00:58:00,0 days 00:58:00,0 days 00:00:00,True
2023-01-25,DD504,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 14:35:00,1900-01-01 16:36:00,1900-01-01 17:25:00,1900-01-01 17:46:00,0 days 02:50:00,0 days 01:10:00,0 days 02:01:00,True
2023-01-25,DD554,HS-DBG,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-01 12:30:00,1900-01-01 12:38:00,1900-01-01 13:45:00,1900-01-01 13:36:00,0 days 01:15:00,0 days 00:58:00,0 days 00:08:00,True
2023-01-25,DD125,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 10:45:00,1900-01-01 10:54:00,1900-01-01 12:00:00,1900-01-01 11:51:00,0 days 01:15:00,0 days 00:57:00,0 days 00:09:00,True
2023-01-25,DD124,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 09:05:00,1900-01-01 09:14:00,1900-01-01 10:15:00,1900-01-01 10:05:00,0 days 01:10:00,0 days 00:51:00,0 days 00:09:00,True
2023-01-25,DD121,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 07:10:00,1900-01-01 07:15:00,1900-01-01 08:15:00,1900-01-01 08:07:00,0 days 01:05:00,0 days 00:52:00,0 days 00:05:00,True
2023-01-24,DD120,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-02 05:30:00,1900-01-02 05:37:00,1900-01-02 06:40:00,1900-01-02 06:28:00,0 days 01:10:00,0 days 00:51:00,0 days 00:07:00,True
2023-01-24,DD579,HS-DBG,Surat Thani ,URT,Bangkok ,DMK,1900-01-01 19:35:00,1900-01-01 20:05:00,1900-01-01 20:50:00,1900-01-01 21:00:00,0 days 01:15:00,0 days 00:55:00,0 days 00:30:00,True
2023-01-24,DD578,HS-DBG,Bangkok ,DMK,Surat Thani ,URT,1900-01-01 17:55:00,1900-01-01 18:31:00,1900-01-01 19:05:00,1900-01-01 19:26:00,0 days 01:10:00,0 days 00:55:00,0 days 00:36:00,True
2023-01-24,DD133,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 15:40:00,1900-01-01 16:50:00,1900-01-01 16:50:00,1900-01-01 17:46:00,0 days 01:10:00,0 days 00:56:00,0 days 01:10:00,True
2023-01-24,DD132,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 14:00:00,1900-01-01 15:02:00,1900-01-01 15:10:00,1900-01-01 15:55:00,0 days 01:10:00,0 days 00:53:00,0 days 01:02:00,True
2023-01-24,DD127,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 12:15:00,1900-01-01 12:53:00,1900-01-01 13:20:00,1900-01-01 13:50:00,0 days 01:05:00,0 days 00:57:00,0 days 00:38:00,True
2023-01-24,DD126,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 10:35:00,1900-01-01 10:41:00,1900-01-01 11:45:00,1900-01-01 11:38:00,0 days 01:10:00,0 days 00:57:00,0 days 00:06:00,True
2023-01-24,DD303,HS-DBG,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 09:05:00,1900-01-01 08:59:00,1900-01-01 10:05:00,1900-01-01 09:47:00,0 days 01:00:00,0 days 00:48:00,0 days 00:00:00,True
2023-01-24,DD302,HS-DBG,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 07:30:00,1900-01-01 07:34:00,1900-01-01 08:35:00,1900-01-01 08:22:00,0 days 01:05:00,0 days 00:48:00,0 days 00:04:00,True
2023-01-23,DD559,HS-DBG,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 20:40:00,1900-01-01 21:18:00,1900-01-01 21:50:00,1900-01-01 22:17:00,0 days 01:10:00,0 days 00:59:00,0 days 00:38:00,True
2023-01-23,DD558,HS-DBG,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-01 19:00:00,1900-01-01 19:47:00,1900-01-01 20:10:00,1900-01-01 20:42:00,0 days 01:10:00,0 days 00:55:00,0 days 00:47:00,True
2023-01-23,DD207,HS-DBG,Phitsanulok ,PHS,Bangkok ,DMK,1900-01-01 17:40:00,1900-01-01 18:29:00,1900-01-01 18:30:00,1900-01-01 19:05:00,0 days 00:50:00,0 days 00:36:00,0 days 00:49:00,True
2023-01-23,DD206,HS-DBG,Bangkok ,DMK,Phitsanulok ,PHS,1900-01-01 16:20:00,1900-01-01 17:15:00,1900-01-01 17:10:00,1900-01-01 17:50:00,0 days 00:50:00,0 days 00:35:00,0 days 00:55:00,True
2023-01-23,DD851,HS-DBG,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 14:00:00,1900-01-01 14:55:00,1900-01-01 15:30:00,1900-01-01 16:07:00,0 days 01:30:00,0 days 01:12:00,0 days 00:55:00,True
2023-01-23,DD850,HS-DBG,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 11:45:00,1900-01-01 12:37:00,1900-01-01 13:15:00,1900-01-01 14:01:00,0 days 01:30:00,0 days 01:24:00,0 days 00:52:00,True
2023-01-23,DD125,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 10:45:00,1900-01-01 10:52:00,1900-01-01 12:00:00,1900-01-01 11:46:00,0 days 01:15:00,0 days 00:54:00,0 days 00:07:00,True
2023-01-23,DD124,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 09:05:00,1900-01-01 09:19:00,1900-01-01 10:15:00,1900-01-01 10:08:00,0 days 01:10:00,0 days 00:49:00,0 days 00:14:00,True
2023-01-23,DD301,HS-DBG,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 07:35:00,1900-01-01 07:33:00,1900-01-01 08:35:00,1900-01-01 08:18:00,0 days 01:00:00,0 days 00:45:00,0 days 00:00:00,True
2023-01-22,DD300,HS-DBG,Bangkok ,DMK,Udon Thani ,UTH,1900-01-02 06:00:00,1900-01-02 06:06:00,1900-01-01 07:05:00,1900-01-02 06:51:00,0 days 01:05:00,0 days 00:45:00,0 days 00:06:00,False
2023-01-22,DD859,HS-DBG,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 20:45:00,1900-01-01 21:24:00,1900-01-01 22:25:00,1900-01-01 22:39:00,0 days 01:40:00,0 days 01:15:00,0 days 00:39:00,False
2023-01-22,DD858,HS-DBG,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 18:30:00,1900-01-01 19:03:00,1900-01-01 20:00:00,1900-01-01 20:29:00,0 days 01:30:00,0 days 01:26:00,0 days 00:33:00,False
2023-01-22,DD505,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 16:35:00,1900-01-01 17:02:00,1900-01-01 18:05:00,1900-01-01 18:14:00,0 days 01:30:00,0 days 01:12:00,0 days 00:27:00,False
2023-01-22,DD504,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 14:35:00,1900-01-01 15:07:00,1900-01-01 16:05:00,1900-01-01 16:19:00,0 days 01:30:00,0 days 01:12:00,0 days 00:32:00,False
2023-01-22,DD127,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 12:50:00,1900-01-01 13:18:00,1900-01-01 14:00:00,1900-01-01 14:11:00,0 days 01:10:00,0 days 00:53:00,0 days 00:28:00,False
2023-01-22,DD126,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 11:10:00,1900-01-01 11:34:00,1900-01-01 12:20:00,1900-01-01 12:25:00,0 days 01:10:00,0 days 00:51:00,0 days 00:24:00,False
2023-01-22,DD523,HS-DBG,Phuket ,HKT,Bangkok ,DMK,1900-01-01 09:10:00,1900-01-01 09:33:00,1900-01-01 10:40:00,1900-01-01 10:38:00,0 days 01:30:00,0 days 01:05:00,0 days 00:23:00,False
2023-01-22,DD522,HS-DBG,Bangkok ,DMK,Phuket ,HKT,1900-01-01 07:20:00,1900-01-01 07:35:00,1900-01-01 08:40:00,1900-01-01 08:41:00,0 days 01:20:00,0 days 01:06:00,0 days 00:15:00,False
2023-01-21,DD535,HS-DBG,Phuket ,HKT,Bangkok ,DMK,1900-01-01 22:05:00,1900-01-01 22:43:00,1900-01-01 23:40:00,1900-01-01 23:45:00,0 days 01:35:00,0 days 01:02:00,0 days 00:38:00,False
2023-01-21,DD534,HS-DBG,Bangkok ,DMK,Phuket ,HKT,1900-01-01 20:15:00,1900-01-01 21:08:00,1900-01-01 21:50:00,1900-01-01 22:09:00,0 days 01:35:00,0 days 01:01:00,0 days 00:53:00,False
2023-01-21,DD177,HS-DBG,Nan ,NNT,Bangkok ,DMK,1900-01-01 18:15:00,1900-01-01 19:30:00,1900-01-01 19:25:00,1900-01-01 20:21:00,0 days 01:10:00,0 days 00:51:00,0 days 01:15:00,False
2023-01-21,DD176,HS-DBG,Bangkok ,DMK,Nan ,NNT,1900-01-01 16:35:00,1900-01-01 18:02:00,1900-01-01 17:45:00,1900-01-01 18:54:00,0 days 01:10:00,0 days 00:52:00,0 days 01:27:00,False
2023-01-21,DD851,HS-DBG,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 14:00:00,1900-01-01 16:04:00,1900-01-01 15:30:00,1900-01-01 17:14:00,0 days 01:30:00,0 days 01:10:00,0 days 02:04:00,False
2023-01-21,DD850,HS-DBG,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 11:45:00,1900-01-01 13:06:00,1900-01-01 13:15:00,1900-01-01 15:08:00,0 days 01:30:00,0 days 02:02:00,0 days 01:21:00,False
2023-01-21,DD171,HS-DBG,Nan ,NNT,Bangkok ,DMK,1900-01-01 10:25:00,1900-01-01 11:19:00,1900-01-01 11:35:00,1900-01-01 12:08:00,0 days 01:10:00,0 days 00:49:00,0 days 00:54:00,False
2023-01-21,DD170,HS-DBG,Bangkok ,DMK,Nan ,NNT,1900-01-01 08:45:00,1900-01-01 09:49:00,1900-01-01 09:55:00,1900-01-01 10:42:00,0 days 01:10:00,0 days 00:53:00,0 days 01:04:00,False
2023-01-21,DD551,HS-DBG,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 07:40:00,1900-01-01 07:58:00,1900-01-01 08:50:00,1900-01-01 08:58:00,0 days 01:10:00,0 days 01:00:00,0 days 00:18:00,False
2023-01-20,DD550,HS-DBG,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-02 06:00:00,1900-01-02 06:18:00,1900-01-01 07:10:00,1900-01-01 07:13:00,0 days 01:10:00,0 days 00:55:00,0 days 00:18:00,True
2023-01-20,DD507,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 20:10:00,1900-01-01 22:50:00,1900-01-01 21:35:00,1900-01-02 00:01:00,0 days 01:25:00,0 days 01:11:00,0 days 02:40:00,True
2023-01-20,DD177,HS-DBG,Nan ,NNT,Bangkok ,DMK,1900-01-01 18:15:00,1900-01-01 19:21:00,1900-01-01 19:25:00,1900-01-01 20:09:00,0 days 01:10:00,0 days 00:48:00,0 days 01:06:00,True
2023-01-20,DD506,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 18:10:00,1900-01-01 20:57:00,1900-01-01 19:40:00,1900-01-01 22:05:00,0 days 01:30:00,0 days 01:08:00,0 days 02:47:00,True
2023-01-20,DD176,HS-DBG,Bangkok ,DMK,Nan ,NNT,1900-01-01 16:35:00,1900-01-01 17:45:00,1900-01-01 17:45:00,1900-01-01 18:37:00,0 days 01:10:00,0 days 00:52:00,0 days 01:10:00,True
2023-01-20,DD325,HS-DBG,Ubon Ratchathani ,UBP,Bangkok ,DMK,1900-01-01 15:05:00,1900-01-01 15:50:00,1900-01-01 16:05:00,1900-01-01 16:45:00,0 days 01:00:00,0 days 00:55:00,0 days 00:45:00,True
2023-01-27,DD106,HS-DBG,Bangkok ,DMK,Chiang Rai ,CEI,1900-01-01 13:40:00,1900-01-01 14:36:00,1900-01-01 15:05:00,1900-01-01 15:36:00,0 days 01:25:00,0 days 01:00:00,0 days 00:56:00,True
2023-01-27,DD503,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 11:35:00,1900-01-01 12:23:00,1900-01-01 13:35:00,1900-01-01 13:34:00,0 days 02:00:00,0 days 01:11:00,0 days 00:48:00,True
2023-01-27,DD502,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 09:40:00,1900-01-01 10:30:00,1900-01-01 11:40:00,1900-01-01 11:39:00,0 days 02:00:00,0 days 01:09:00,0 days 00:50:00,True
2023-01-27,DD361,HS-DBG,Sakon Nakhon ,SNO,Bangkok ,DMK,1900-01-01 08:40:00,1900-01-01 08:48:00,1900-01-01 09:45:00,1900-01-01 09:39:00,0 days 01:05:00,0 days 00:51:00,0 days 00:08:00,True
2023-01-27,DD360,HS-DBG,Bangkok ,DMK,Sakon Nakhon ,SNO,1900-01-01 07:00:00,1900-01-01 07:17:00,1900-01-01 08:10:00,1900-01-01 08:13:00,0 days 01:10:00,0 days 00:56:00,0 days 00:17:00,True
2023-01-26,DD137,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 19:40:00,1900-01-01 23:08:00,1900-01-01 22:00:00,1900-01-02 00:00:00,0 days 02:20:00,0 days 00:52:00,0 days 03:28:00,True
2023-01-26,DD136,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 18:00:00,1900-01-01 21:31:00,1900-01-01 19:10:00,1900-01-01 22:21:00,0 days 01:10:00,0 days 00:50:00,0 days 03:31:00,True
2023-01-26,DD505,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 16:35:00,1900-01-01 19:12:00,1900-01-01 18:05:00,1900-01-01 20:33:00,0 days 01:30:00,0 days 01:21:00,0 days 02:37:00,True
2023-01-26,DD504,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 14:35:00,1900-01-01 17:14:00,1900-01-01 16:05:00,1900-01-01 18:23:00,0 days 01:30:00,0 days 01:09:00,0 days 02:39:00,True
2023-01-26,DD131,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 14:05:00,1900-01-01 15:29:00,1900-01-01 15:10:00,1900-01-01 16:24:00,0 days 01:05:00,0 days 00:55:00,0 days 01:24:00,True
2023-01-26,DD130,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 12:20:00,1900-01-01 13:36:00,1900-01-01 13:35:00,1900-01-01 14:29:00,0 days 01:15:00,0 days 00:53:00,0 days 01:16:00,True
2023-01-26,DD593,HS-DBG,Trang ,TST,Bangkok ,DMK,1900-01-01 11:15:00,1900-01-01 11:23:00,1900-01-01 12:35:00,1900-01-01 12:38:00,0 days 01:20:00,0 days 01:15:00,0 days 00:08:00,True
2023-01-26,DD592,HS-DBG,Bangkok ,DMK,Trang ,TST,1900-01-01 09:25:00,1900-01-01 09:36:00,1900-01-01 10:45:00,1900-01-01 10:45:00,0 days 01:20:00,0 days 01:09:00,0 days 00:11:00,True
2023-01-26,DD571,HS-DBG,Surat Thani ,URT,Bangkok ,DMK,1900-01-01 07:45:00,1900-01-01 07:47:00,1900-01-01 08:55:00,1900-01-01 08:43:00,0 days 01:10:00,0 days 00:56:00,0 days 00:02:00,True
2023-01-25,DD570,HS-DBG,Bangkok ,DMK,Surat Thani ,URT,1900-01-02 06:05:00,1900-01-02 06:14:00,1900-01-01 07:15:00,1900-01-01 07:08:00,0 days 01:10:00,0 days 00:54:00,0 days 00:09:00,True
2023-01-25,DD535,HS-DBG,Phuket ,HKT,Bangkok ,DMK,1900-01-01 22:05:00,1900-01-01 22:32:00,1900-01-01 23:25:00,1900-01-01 23:38:00,0 days 01:20:00,0 days 01:06:00,0 days 00:27:00,True
2023-01-25,DD534,HS-DBG,Bangkok ,DMK,Phuket ,HKT,1900-01-01 20:15:00,1900-01-01 20:31:00,1900-01-01 21:25:00,1900-01-01 21:42:00,0 days 01:10:00,0 days 01:11:00,0 days 00:16:00,True
2023-01-25,DD505,HS-DBG,Hat Yai ,HDY,Bangkok ,DMK,1900-01-01 16:35:00,1900-01-01 18:28:00,1900-01-01 19:20:00,1900-01-01 19:42:00,0 days 02:45:00,0 days 01:14:00,0 days 01:53:00,True
2023-01-25,DD55,HS-DBG,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 14:37:00,1900-01-01 14:37:00,1900-01-01 15:35:00,1900-01-01 15:35:00,0 days 00:58:00,0 days 00:58:00,0 days 00:00:00,True
2023-01-25,DD504,HS-DBG,Bangkok ,DMK,Hat Yai ,HDY,1900-01-01 14:35:00,1900-01-01 16:36:00,1900-01-01 17:25:00,1900-01-01 17:46:00,0 days 02:50:00,0 days 01:10:00,0 days 02:01:00,True
2023-01-25,DD554,HS-DBG,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-01 12:30:00,1900-01-01 12:38:00,1900-01-01 13:45:00,1900-01-01 13:36:00,0 days 01:15:00,0 days 00:58:00,0 days 00:08:00,True
2023-01-25,DD125,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 10:45:00,1900-01-01 10:54:00,1900-01-01 12:00:00,1900-01-01 11:51:00,0 days 01:15:00,0 days 00:57:00,0 days 00:09:00,True
2023-01-25,DD124,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 09:05:00,1900-01-01 09:14:00,1900-01-01 10:15:00,1900-01-01 10:05:00,0 days 01:10:00,0 days 00:51:00,0 days 00:09:00,True
2023-01-25,DD121,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 07:10:00,1900-01-01 07:15:00,1900-01-01 08:15:00,1900-01-01 08:07:00,0 days 01:05:00,0 days 00:52:00,0 days 00:05:00,True
2023-01-24,DD120,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-02 05:30:00,1900-01-02 05:37:00,1900-01-02 06:40:00,1900-01-02 06:28:00,0 days 01:10:00,0 days 00:51:00,0 days 00:07:00,True
2023-01-24,DD579,HS-DBG,Surat Thani ,URT,Bangkok ,DMK,1900-01-01 19:35:00,1900-01-01 20:05:00,1900-01-01 20:50:00,1900-01-01 21:00:00,0 days 01:15:00,0 days 00:55:00,0 days 00:30:00,True
2023-01-24,DD578,HS-DBG,Bangkok ,DMK,Surat Thani ,URT,1900-01-01 17:55:00,1900-01-01 18:31:00,1900-01-01 19:05:00,1900-01-01 19:26:00,0 days 01:10:00,0 days 00:55:00,0 days 00:36:00,True
2023-01-24,DD133,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 15:40:00,1900-01-01 16:50:00,1900-01-01 16:50:00,1900-01-01 17:46:00,0 days 01:10:00,0 days 00:56:00,0 days 01:10:00,True
2023-01-24,DD132,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 14:00:00,1900-01-01 15:02:00,1900-01-01 15:10:00,1900-01-01 15:55:00,0 days 01:10:00,0 days 00:53:00,0 days 01:02:00,True
2023-01-24,DD127,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 12:15:00,1900-01-01 12:53:00,1900-01-01 13:20:00,1900-01-01 13:50:00,0 days 01:05:00,0 days 00:57:00,0 days 00:38:00,True
2023-01-24,DD126,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 10:35:00,1900-01-01 10:41:00,1900-01-01 11:45:00,1900-01-01 11:38:00,0 days 01:10:00,0 days 00:57:00,0 days 00:06:00,True
2023-01-24,DD303,HS-DBG,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 09:05:00,1900-01-01 08:59:00,1900-01-01 10:05:00,1900-01-01 09:47:00,0 days 01:00:00,0 days 00:48:00,0 days 00:00:00,True
2023-01-24,DD302,HS-DBG,Bangkok ,DMK,Udon Thani ,UTH,1900-01-01 07:30:00,1900-01-01 07:34:00,1900-01-01 08:35:00,1900-01-01 08:22:00,0 days 01:05:00,0 days 00:48:00,0 days 00:04:00,True
2023-01-23,DD559,HS-DBG,Nakhon Si Thammarat ,NST,Bangkok ,DMK,1900-01-01 20:40:00,1900-01-01 21:18:00,1900-01-01 21:50:00,1900-01-01 22:17:00,0 days 01:10:00,0 days 00:59:00,0 days 00:38:00,True
2023-01-23,DD558,HS-DBG,Bangkok ,DMK,Nakhon Si Thammarat ,NST,1900-01-01 19:00:00,1900-01-01 19:47:00,1900-01-01 20:10:00,1900-01-01 20:42:00,0 days 01:10:00,0 days 00:55:00,0 days 00:47:00,True
2023-01-23,DD207,HS-DBG,Phitsanulok ,PHS,Bangkok ,DMK,1900-01-01 17:40:00,1900-01-01 18:29:00,1900-01-01 18:30:00,1900-01-01 19:05:00,0 days 00:50:00,0 days 00:36:00,0 days 00:49:00,True
2023-01-23,DD206,HS-DBG,Bangkok ,DMK,Phitsanulok ,PHS,1900-01-01 16:20:00,1900-01-01 17:15:00,1900-01-01 17:10:00,1900-01-01 17:50:00,0 days 00:50:00,0 days 00:35:00,0 days 00:55:00,True
2023-01-23,DD851,HS-DBG,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 14:00:00,1900-01-01 14:55:00,1900-01-01 15:30:00,1900-01-01 16:07:00,0 days 01:30:00,0 days 01:12:00,0 days 00:55:00,True
2023-01-23,DD850,HS-DBG,Bangkok ,DMK,Ho Chi Minh City ,SGN,1900-01-01 11:45:00,1900-01-01 12:37:00,1900-01-01 13:15:00,1900-01-01 14:01:00,0 days 01:30:00,0 days 01:24:00,0 days 00:52:00,True
2023-01-23,DD125,HS-DBG,Chiang Mai ,CNX,Bangkok ,DMK,1900-01-01 10:45:00,1900-01-01 10:52:00,1900-01-01 12:00:00,1900-01-01 11:46:00,0 days 01:15:00,0 days 00:54:00,0 days 00:07:00,True
2023-01-23,DD124,HS-DBG,Bangkok ,DMK,Chiang Mai ,CNX,1900-01-01 09:05:00,1900-01-01 09:19:00,1900-01-01 10:15:00,1900-01-01 10:08:00,0 days 01:10:00,0 days 00:49:00,0 days 00:14:00,True
2023-01-23,DD301,HS-DBG,Udon Thani ,UTH,Bangkok ,DMK,1900-01-01 07:35:00,1900-01-01 07:33:00,1900-01-01 08:35:00,1900-01-01 08:18:00,0 days 01:00:00,0 days 00:45:00,0 days 00:00:00,True
2023-01-22,DD300,HS-DBG,Bangkok ,DMK,Udon Thani ,UTH,1900-01-02 06:00:00,1900-01-02 06:06:00,1900-01-01 07:05:00,1900-01-02 06:51:00,0 days 01:05:00,0 days 00:45:00,0 days 00:06:00,False
2023-01-22,DD859,HS-DBG,Ho Chi Minh City ,SGN,Bangkok ,DMK,1900-01-01 20:45:00,1900-01-01 21:24:00,1900-01-01 22:25:00,1900-01-01 22:39:00,0 days 01:40:00,0 days 01:15:00,0 days 00:39:00,False
